Split,Session,Test_Complexity_Pct,Val_F1,Val_Precision,Val_Recall,Train_F1,Best_Epoch,Training_Time_Minutes,Status
F,2025-11-03-lbd4go_splitF,55.00000000000001,0.6974522292993631,0.6576576576576577,0.7423728813559322,0.9383189517417704,7,8.251119824250539,success
G,2025-11-03-lbd4go_splitG,60.0,0.6950146627565984,0.6475409836065574,0.75,0.9154293092317624,7,8.177793478965759,success
H,2025-11-03-lbd4go_splitH,70.0,0.7099697885196373,0.7230769230769231,0.6973293768545994,0.9189898327320432,6,8.025877904891967,success
I,2025-11-03-lbd4go_splitI,75.0,0.7122093023255813,0.698005698005698,0.7270029673590505,0.9111617312072892,6,8.042841641108195,success
J,2025-11-03-lbd4go_splitJ,80.0,0.7214611872146119,0.7117117117117117,0.7314814814814815,0.9126149802890932,6,8.064858778317769,success
K1,2025-11-03-lbd4go_splitK1,5.0,0.6490066225165563,0.6490066225165563,0.6490066225165563,0.9358851674641148,9,8.099201627572377,success
K2,2025-11-03-lbd4go_splitK2,92.0,0.7272727272727274,0.718266253869969,0.7365079365079366,0.95856811402055,9,8.096895190080007,success
