url,status,country,coordinates,wayback_url,is_live,url_validation
http://www.dmd.nl/,200,,,,True,ok
https://www.mirbase.org/cgi-bin/mirna_entry.pl?acc=MIMAT0000443,200,,,,True,ok
http://ccdb.tau.ac.il/,200,,,,True,ok
https://www.gramene.org,200,,,,True,ok
https://rebase.neb.com/rebase/rebase.html,200,,,,True,ok
http://teromol.qmclab.com/,"HTTPConnectionPool(host='teromol.qmclab.com', port=80): Max retries exceeded with url: / (Caused by ",,,,False,ok
http://pronab.ibab.ac.in/pnatdb/,"HTTPConnectionPool(host='pronab.ibab.ac.in', port=80): Max retries exceeded with url: /pnatdb/ (Caus",,,,False,ok
http://carotenoiddb.jp/,200,,,,True,ok
http://www.nbpgr.ernet.in/,200,,,,True,ok
https://heal.nih.gov/data,200,,,,True,ok
https://doi.org/10.5281/zenodo.5801806,200,,,,True,ok
https://unclineberger.org/unccsc/,403,,,,False,ok
https://gnomad.broadinstitute.org/,200,,,,True,ok
http://cancer.sanger.ac.uk/cosmic,200,,,,True,ok
https://github.com/yeyupiaoling/ZJUT-EIFD,404,,,,False,review
https://bioportal.bioontology.org,403,,,,False,ok
https://www.nist.gov/srd/nist-standard-reference-database-71,200,,,,True,ok
https://www.tropmedres.ac/units/moru-bangkok/bioethics-engagement/data-sharing,400,,,,False,ok
https://www.efsa.europa.eu/en/data-knowledge/data-reports,404,,,,False,ok
http://mzmine.github.io/,200,,,,True,review
http://rlkdb.public.pombase.org,"HTTPConnectionPool(host='rlkdb.public.pombase.org', port=80): Max retries exceeded with url: / (Caus",,,,False,ok
https://www.acmg.net/,404,,,,False,ok
https://ngdc.cncb.ac.cn/targetgene/,200,,,,True,ok
http://nat.mbc.nctu.edu.tw/,"HTTPConnectionPool(host='nat.mbc.nctu.edu.tw', port=80): Max retries exceeded with url: / (Caused by",,,,False,ok
http://disintegrins.biol.univ.wroc.pl/,"HTTPConnectionPool(host='disintegrins.biol.univ.wroc.pl', port=80): Max retries exceeded with url: /",,,,False,ok
https://www.pbs.gov.au/pbs/home,200,,,,True,ok
http://www.agrold.org/,200,,,,True,ok
https://debbie.global/,"HTTPSConnectionPool(host='debbie.global', port=443): Max retries exceeded with url: / (Caused by Nam",,,,False,ok
https://github.com/wang-lin-lab/NPtagM,404,,,,False,review
https://github.com/SILin7/AtacAnnoR,404,,,,False,review
