ID,best_name,best_name_prob,best_common,best_common_prob,best_full,best_full_prob,article_count,extracted_url,extracted_url_status,extracted_url_country,extracted_url_coordinates,wayback_url,publication_date,affiliation,authors,grant_ids,grant_agencies,num_citations,affiliation_countries,best_name_original,name_modification_flags,url_validation
39379619,o-glcnac database,0.9332913,,0.9332913,o-glcnac database,0.9332913,1,https://www.oglcnac.mcw.edu/,"HTTPSConnectionPool(host='www.oglcnac.mcw.edu', port=443): Max retries exceeded with url: / (Caused ",,,,,,,,,,,o-glcnac database,,ok
35175626,PAZY,0.99679667,pazy,0.99679667,,0.99679667,1,https://www.pazy.eu/,"HTTPSConnectionPool(host='www.pazy.eu', port=443): Max retries exceeded with url: / (Caused by SSLEr",,,,,,,,,,,pazy,CAPITALIZED,ok
35931779,i-tasser-mtd,0.99470854,i-tasser-mtd,0.99470854,,0.99470854,1,https://seq2fun.dcmb.med.umich.edu/I-TASSER-MTD/,"HTTPSConnectionPool(host='seq2fun.dcmb.med.umich.edu', port=443): Max retries exceeded with url: /I-",,,,,,,,,,,i-tasser-mtd,,ok
38927512,genecarna,0.6879092,,0.6879092,genecarna,0.6879092,1,https://www.genecards.org/genecarna,403,,,,,,,,,,,genecarna,,ok
36352543,ANZUP,0.6877836,anzup,0.6877836,,0.6877836,1,https://anzup.org.au,403,,,,,,,,,,,anzup,CAPITALIZED,ok
40380393,bioportal,0.6194457,,0.6194457,bioportal,0.6194457,1,https://bioportal.bioontology.org,403,,,,,,,,,,,bioportal,,ok
37259264,scliverdb,0.0,,0.0,scliverdb,0.0,1,http://bioinfo.life.hust.edu.cn/liverdb,"HTTPConnectionPool(host='bioinfo.life.hust.edu.cn', port=80): Max retries exceeded with url: /liverd",,,,,,,,,,,scliverdb,,ok
39704901,ukbiobank,0.0,,0.0,ukbiobank,0.0,1,https://www.ukbiobank.ac.uk,403,,,,,,,,,,,ukbiobank,,ok
35396615,chicago face database,0.0,,0.0,chicago face database,0.0,1,https://www.chicagofaces.org,406,,,,,,,,,,,chicago face database,,ok
40262894,mprabase,0.0,,0.0,mprabase,0.0,1,http://www.mprabase.com,"HTTPConnectionPool(host='www.mprabase.com', port=80): Max retries exceeded with url: / (Caused by Na",,,,,,,,,,,mprabase,,ok
36286319,intenzydb,0.0,,0.0,intenzydb,0.0,1,https://intenzydb.accre.vanderbilt.edu,502,,,,,,,,,,,intenzydb,,ok
