ID,best_name,in_rerun,in_final,rerun_best_name_prob,final_best_name_prob,rerun_best_common_prob,final_best_common_prob,difference_score,status
24122843,HTS-DB,False,True,,0.993688151,,0.993688151,,unique_to_final
34559210,QSDB,False,True,,0.994050586,,0.994050586,,unique_to_final
30486838,CHESS,False,True,,0.993582785,,0.993582785,,unique_to_final
33074314,TransCirc,False,True,,0.997567892,,0.997567892,,unique_to_final
25392406,VirHostNet,False,True,,0.99125731,,0.99125731,,unique_to_final
23193288,CFGP,False,True,,0.979907155,,0.979907155,,unique_to_final
32193291,LncSpA,False,True,,0.997582436,,0.997582436,,unique_to_final
24739306,RetrogeneDB,False,True,,0.99268949,,0.99268949,,unique_to_final
25465051,A-WINGS,False,True,,0.987336159,,0.987336159,,unique_to_final
25518738,CGWR,False,True,,0.983098507,,0.983098507,,unique_to_final
29077946,ARED-Plus,False,True,,0.983083916,,0.983083916,,unique_to_final
23019048,CRCgene,False,True,,0.993980265,,0.993980265,,unique_to_final
22829745,CyanoEXpress,False,True,,0.994646311,,0.994646311,,unique_to_final
27127885,GCGene,False,True,,0.995825529,,0.995825529,,unique_to_final
28832569,SweGen,False,True,,0.992595315,,0.992595315,,unique_to_final
29112749,PGG.Population,False,True,,0.989457592,,0.989457592,,unique_to_final
22701464,pep2pro,False,True,,0.995340317,,0.995340317,,unique_to_final
"30020414, 22859501",SKEMPI,False,True,,0.998165965,,0.998165965,,unique_to_final
26438539,CRISPRz,False,True,,0.997380316,,0.997380316,,unique_to_final
22369658,DetoxiProt,False,True,,0.993119836,,0.993119836,,unique_to_final
33010177,SC2disease,False,True,,0.997551847,,0.997551847,,unique_to_final
30357370,liqDB,False,True,,0.997288704,,0.997288704,,unique_to_final
24174536,GeneProf,False,True,,0.996735215,,0.996735215,,unique_to_final
25627341,SynBioLGDB,False,True,,0.994347095,,0.994347095,,unique_to_final
34269889,B3Pdb,False,True,,0.996475801,,0.996475801,,unique_to_final
22649282,Florabank1,False,True,,0.991928935,,0.991928935,,unique_to_final
31240309,TCR3d,False,True,,0.996341427,,0.996341427,,unique_to_final
22645600,RiceRBP,False,True,,0.996419489,,0.996419489,,unique_to_final
27465544,IGDD,False,True,,0.995845596,,0.995845596,,unique_to_final
"25348407, 31733063",Genome3D,False,True,,0.994092405,,0.994092405,,unique_to_final
33035346,tRFtarget,False,True,,0.997647464,,0.997647464,,unique_to_final
"24163255, 29059374",PED,False,True,,0.995105187,,0.995105187,,unique_to_final
29657279,oncoNcRNA,False,True,,0.992065489,,0.992065489,,unique_to_final
21821666,NeuroPedia,False,True,,0.996082842,,0.996082842,,unique_to_final
32487016,ncRI,False,True,,0.994199097,,0.994199097,,unique_to_final
32367112,MACSNVdb,False,True,,0.99785769,,0.99785769,,unique_to_final
34656056,SuperTCM,False,True,,0.990243733,,0.990243733,,unique_to_final
29028885,HoTResDB,False,True,,0.99197798,,0.99197798,,unique_to_final
24227675,PhosphoNetworks,False,True,,0.997868598,,0.997868598,,unique_to_final
32693783,ORDER,False,True,,0.97873052,,0.97873052,,unique_to_final
"22139938, 24270792, 26578585, 29112716",Gene3D,False,True,,0.990353435,,0.990353435,,unique_to_final
25377257,BactPepDB,False,True,,0.998118401,,0.998118401,,unique_to_final
24007337,GRASP,False,True,,0.996128678,,0.996128678,,unique_to_final
31231773,MepmiRDB,False,True,,0.99640429,,0.99640429,,unique_to_final
"33112702, 25233092",LncRBase,False,True,,0.9981637,,0.9981637,,unique_to_final
23667450,LipidHome,False,True,,0.980949104,,0.980949104,,unique_to_final
31906602,LLPSDB,False,True,,0.997212887,,0.997212887,,unique_to_final
27193158,ASL-LEX,False,True,,0.995315278,,0.995315278,,unique_to_final
31640808,PGG.SNV,False,True,,0.993890333,,0.993890333,,unique_to_final
"30423142, 24275495",miRBase,False,True,,0.997651339,,0.997651339,,unique_to_final
31887789,ETph,False,True,,0.99349612,,0.99349612,,unique_to_final
22080560,MIPModDB,False,True,,0.992227316,,0.992227316,,unique_to_final
