extracted_name,baseline_name,match_type,is_match,score,reasoning,extracted_long,extracted_url,extracted_domain,baseline_url,baseline_domain,same_domain,edit_distance,url_similarity,confidence
PolyTB,memprotmd,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Tuberculosis Genomic Variation Map,http://pathogenseq.lshtm.ac.uk/polytb,ac.uk,http://memprotmd.bioch.ox.ac.uk,ac.uk,True,8.0,0.37,HIGH
Vertion,epilepsy-connect,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Version Control for Biological Networks,http://compbio.case.edu/omics/software/vertion,case.edu,http://bmhinformatics.case.edu/Epilepsyconnect/login,case.edu,True,13.0,0.36,HIGH
PathMe,neurommsig,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,mechanistic pathway knowledge resource,https://pathme.scai.fraunhofer.de/,fraunhofer.de,http://neurommsig.scai.fraunhofer.de,fraunhofer.de,True,9.0,0.74,HIGH
Blue Box Database,naps,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Ultrasonic Signal Database,http://bluebox.ippt.gov.pl/~hpiotrzk,gov.pl,http://naps.nencki.gov.pl,gov.pl,True,15.0,0.38,HIGH
LNEN_map,ucsc genome browser,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Lung Neuroendocrine Neoplasm Map,https://tumormap.ucsc.edu/?p=RCG_lungNENomics/LNEN,ucsc.edu,http://genome.ucsc.edu,ucsc.edu,True,16.0,0.62,HIGH
GBIF Dataset 14669,florabank1,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Tenebrionid beetle dataset Peninsula Valdés,http://data.gbif.org/datasets/resource/14669/,gbif.org,"http://data.gbif.org/datasets/resource/10969/, http://projects.biodiversity.be/ifblAll",gbif.org,True,15.0,0.6,HIGH
TASmania,gdbmedchem,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Toxin-Antitoxin Systems Database,https://shiny.bioinformatics.unibe.ch/apps/tasmania/,unibe.ch,http://gdb.unibe.ch,unibe.ch,True,9.0,0.36,HIGH
DynaStI,snp2tfbs,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Dynamic Retention Time Database for Steroidomics,https://dynasti.vital-it.ch,vital-it.ch,http://ccg.vital-it.ch/snp2tfbs,vital-it.ch,True,7.0,0.56,HIGH
IDAAPM,cvd2014,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,ADMET Adverse Effects Database,http://idaapm.helsinki.fi,helsinki.fi,http://www.helsinki.fi/psychology/groups/visualcognition,helsinki.fi,True,6.0,0.35,HIGH
TTD,cube-db,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Therapeutic Target Database,http://bidd.nus.edu.sg/group/ttd/ttd.asp,edu.sg,http://epsf.bmad.bii.a-star.edu.sg/cube/db/html/home.html,edu.sg,True,6.0,0.34,HIGH
ODIN,dianat-db,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,ODIN biocuration database,http://odin.ccg.unam.mx/ODIN/bc2015-miRNA/,unam.mx,http://rdu.iquimica.unam.mx/handle/20.500.12214/1186,unam.mx,True,7.0,0.43,HIGH
hERGAPDbase,oryzapg,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,hERG Action Potential Duration Database,http://www.grt.kyushu-u.ac.jp/hergapdbase/,ac.jp,http://oryzapg.iab.keio.ac.jp,ac.jp,True,9.0,0.35,HIGH
Ostrinia_scapulalis_genome,cyanolyase,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Ostrinia scapulalis genome database,http://bipaa.genouest.org/sp/ostrinia_scapulalis/,genouest.org,http://cyanolyase.genouest.org,genouest.org,True,22.0,0.47,HIGH
XDeathDB,linps,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,cell death molecular interactions database,https://pcm2019.shinyapps.io/XDeathDB/,shinyapps.io,http://mahshaaban.shinyapps.io/LINPSAPP,shinyapps.io,True,8.0,0.52,HIGH
CancerRxTissue,tbpp,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Cancer Drug Response Tissue Predictor,https://manticore.niehs.nih.gov/cancerRxTissue,nih.gov,http://TBPortals.niaid.nih.gov,nih.gov,True,13.0,0.46,HIGH
ChallengeDB,live-nflx-ii,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Challenge Database,http://live.ece.utexas.edu/research/ChallengeDB/index.html,utexas.edu,http://live.ece.utexas.edu/research/LIVE_NFLX_II/live_nflx_plus.html,utexas.edu,True,12.0,0.61,HIGH
Anti-CRISPRdb,morusdb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Anti-CRISPR Protein Database,http://cefg.uestc.edu.cn/anti-CRISPRdb/,edu.cn,http://morus.swu.edu.cn/morusdb,edu.cn,True,9.0,0.51,HIGH
G4_database,mesocosm,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,G-quadruplex Database,https://ericlarg4.github.io/G4_database.html,github.io,http://aliayadi.github.io/MESOCOSM-database,github.io,True,10.0,0.58,HIGH
MassIVE,bigg,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,MassIVE Repository,https://massive.ucsd.edu/,ucsd.edu,http://bigg.ucsd.edu,ucsd.edu,True,6.0,0.69,HIGH
pHLA3D,bgbx,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,predicted HLA 3D structures,http://www.phla3d.com.br,com.br,http://www.bgbx.com.br,com.br,True,6.0,0.58,HIGH
LipidGO,pfsnp,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Lipid Gene Ontology Database,http://compbio.ddns.comp.nus.edu.sg/%7elipidgo/index.php,edu.sg,http://pfs.nus.edu.sg,edu.sg,True,6.0,0.49,HIGH
MetaPhOrs,phylomedb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Orthology Inference Resource,http://orthology.phylomedb.org/,phylomedb.org,http://phylomedb.org,phylomedb.org,True,9.0,0.72,HIGH
ResiDB,commode,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Residue Database Manager,https://residb.ait.ac.at/,ac.at,http://commode.i-med.ac.at,ac.at,True,6.0,0.51,HIGH
PacTrac,hawaiian freshwater algal database,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Pacific Tracker Diet and Physical Activity Assessment Tool,https://nappactrac31.ctahr.hawaii.edu/default.htm,hawaii.edu,http://algae.manoa.hawaii.edu/hfwadb,hawaii.edu,True,30.0,0.43,HIGH
GenoSkyline,frog-kb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,GenoSkyline Annotation Database,http://genocanyon.med.yale.edu/GenoSkyline,yale.edu,http://frog.med.yale.edu/FrogKB,yale.edu,True,10.0,0.58,HIGH
THAMAZON,symgendb,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Thermal Anomalies Amazon Database,http://ipl.uv.es/thamazon/web,uv.es,http://symbiogenomesdb.uv.es,uv.es,True,8.0,0.33,HIGH
GTB,hemophilia a database,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Genome Tolerance Browser,http://gtb.biocompute.org.uk,org.uk,"http://hadb.org.uk/, http://www.kcl.ac.uk/ip/petergreen/haemBdatabase.html",org.uk,True,19.0,0.18,HIGH
VIRGO,spectra,SAME_DOMAIN,Y,2.0,Score=2.0: SAME_DOMAIN,Visualization of RNA editing sites in Genomic sequences,http://atlas.dmi.unict.it/virgo/,unict.it,http://alpha.dmi.unict.it/spectra,unict.it,True,7.0,0.72,HIGH
