pmid,title,category,has_fulltext,fulltext_source,fulltext_length,urls_found,urls_count,best_url,best_url_score,best_url_title_match,best_url_matched_keywords,best_url_context,best_url_is_live,best_url_status,best_url_error,all_url_details
28385663,A curated gluten protein sequence database to support development of proteomics methods for determination of gluten in gluten-free foods.,DATABASE_NO_URL,True,PMC,54117,https://omics.pnl.gov/software/protein-coverage-summarizer | http://www.allergenonline.org/,2,https://omics.pnl.gov/software/protein-coverage-summarizer,13.0,False,,".... Protein Coverage Summariser. 641, OMICS.PNL.GOV https://omics.pnl.gov/software/protein-coverage-summarizer 37 Battais F. Mothes T. Moneret-Vautrin D.A. Pine...",True,200.0,,"[{""url"": ""https://omics.pnl.gov/software/protein-coverage-summarizer"", ""score"": 13.0, ""title_match"": false, ""matched_keywords"": """", ""context"": "".... Protein Coverage Summariser. 641, OMICS.PNL.GOV https://omics.pnl.gov/software/protein-coverage-summarizer 37 Battais F. Mothes T. Moneret-Vautrin D.A. Pine...""}, {""url"": ""http://www.allergenonline.org/"", ""score"": 5.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...gy - FigTree 2007 34 Goodman R.E. Allergen Online http://www.allergenonline.org/> 35 Minkiewicz P. Dziuba J. Iwaniak A. Dziuba M....""}]"
32484558,Comprehensive database and evolutionary dynamics of U12-type introns.,DATABASE_NO_URL,True,PMC,57206,introndb.lerner.ccf.org,1,introndb.lerner.ccf.org,26.0,False,,...d Methods). The website is publicly accessible at introndb.lerner.ccf.org. MATERIALS AND METHODS Classifying intron type wi...,False,,Error: Invalid URL 'introndb.lerner.ccf.org': No scheme s,"[{""url"": ""introndb.lerner.ccf.org"", ""score"": 26.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...d Methods). The website is publicly accessible at introndb.lerner.ccf.org. MATERIALS AND METHODS Classifying intron type wi...""}]"
31387779,Development of breast lesions models database.,DATABASE_NO_URL,False,,0,,0,,0.0,False,,,False,,,
28509907,A database of georeferenced nutrient chemistry data for mountain lakes of the Western United States.,DATABASE_NO_URL,True,PMC,39060,http://nadp.sws.uiuc.edu/data/annualmaps.aspx | https://www.epa.gov/national-aquatic-resource-surveys/nla | http://www.epa.gov/national-aquatic-resource-surveys/nla | http://waterqualitydata.us/ | http://science.nature.nps.gov/im/ | http://views.cira.colostate.edu/fed/ | http://www.horizon-systems.com/nhdplus/NHDPlusV2_home.php | https://rstudio.github.io/packrat/,8,http://nadp.sws.uiuc.edu/data/annualmaps.aspx,23.0,False,,...rom the National Atmospheric Deposition Program ( http://nadp.sws.uiuc.edu/data/annualmaps.aspx ). Phosphorus deposition measurements and model d...,False,,"Connection error: HTTPConnectionPool(host='nadp.sws.uiuc.edu', port=","[{""url"": ""http://nadp.sws.uiuc.edu/data/annualmaps.aspx"", ""score"": 23.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...rom the National Atmospheric Deposition Program ( http://nadp.sws.uiuc.edu/data/annualmaps.aspx ). Phosphorus deposition measurements and model d...""}, {""url"": ""https://www.epa.gov/national-aquatic-resource-surveys/nla"", ""score"": 13.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...ssessments were obtained from the USEPA website ( https://www.epa.gov/national-aquatic-resource-surveys/nla ). To obtain relevant NPS and USFS data not in WQ...""}, {""url"": ""http://www.epa.gov/national-aquatic-resource-surveys/nla"", ""score"": 13.0, ""title_match"": false, ""matched_keywords"": """", ""context"": """"}, {""url"": ""http://waterqualitydata.us/"", ""score"": 11.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...toring Council Water Quality Portal (WQ Portal) ( http://waterqualitydata.us/ ) were queried using the WQ Portal website on Jun...""}, {""url"": ""http://science.nature.nps.gov/im/"", ""score"": 5.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...d Monitoring (I&M) networks in the Western U.S. ( http://science.nature.nps.gov/im/ ). Data were provided by the NPS Rocky Mountain (...""}, {""url"": ""http://views.cira.colostate.edu/fed/"", ""score"": 5.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...Federal Land Manager Environmental Database (FED, http://views.cira.colostate.edu/fed/ ) in November 2015. FED is maintained by multiple...""}, {""url"": ""http://www.horizon-systems.com/nhdplus/NHDPlusV2_home.php"", ""score"": 0.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...sing the National Hydrography Dataset (NHDPlusv2, http://www.horizon-systems.com/nhdplus/NHDPlusV2_home.php ). NHDPlusv2 is a free suite of geospatial datase...""}, {""url"": ""https://rstudio.github.io/packrat/"", ""score"": 0.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...create the scripts has been saved using packrat ( https://rstudio.github.io/packrat/ , version 0.4.8\u20131), and is provided in the append...""}]"
29583143,A database of the coseismic effects following the 30 October 2016 Norcia earthquake in Central Italy.,DATABASE_NO_URL,True,PMC,33564,http://geo.umbriaterritorio.it/umbriageo/atlante/ | http://www.ambiente.marche.it/Territorio/Cartografiaeinformazioniterritoriali | http://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer | http://qgis.org/it/site/about/index.html | http://www.earthquakegeology.com/index.php?page=projects&s=4 | http://www.rockgecko.com,6,http://geo.umbriaterritorio.it/umbriageo/atlante/,10.0,False,,...al maps provided by Regione Umbria (available at: http://geo.umbriaterritorio.it/umbriageo/atlante/ ) and Regione Marche (available at: http://www.am...,False,403.0,HTTP 403,"[{""url"": ""http://geo.umbriaterritorio.it/umbriageo/atlante/"", ""score"": 10.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...al maps provided by Regione Umbria (available at: http://geo.umbriaterritorio.it/umbriageo/atlante/ ) and Regione Marche (available at: http://www.am...""}, {""url"": ""http://www.ambiente.marche.it/Territorio/Cartografiaeinformazioniterritoriali"", ""score"": 10.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...ageo/atlante/ ) and Regione Marche (available at: http://www.ambiente.marche.it/Territorio/Cartografiaeinformazioniterritoriali ). The Mt. Vettore \u2013 Mt. Bove Fault-System (VBFS)...""}, {""url"": ""http://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer"", ""score"": 8.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...olution images obtained from ESRI World Imagery ( http://services.arcgisonline.com/ArcGIS/rest/services/World_Imagery/MapServer ) together with very recent post-seismic Google M...""}, {""url"": ""http://qgis.org/it/site/about/index.html"", ""score"": 5.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...ng and conversion using the software QGIS 2.18\u00a9 ( http://qgis.org/it/site/about/index.html ). After final editing, the .shp file was finally...""}, {""url"": ""http://www.earthquakegeology.com/index.php?page=projects&s=4"", ""score"": 0.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...9 SURFACE\u2014SURface FAulting Catalogue Earthquakes; http://www.earthquakegeology.com/index.php?page=projects&s=4 ). Methods The survey of geological coseismic eff...""}, {""url"": ""http://www.rockgecko.com"", ""score"": 0.0, ""title_match"": false, ""matched_keywords"": """", ""context"": """"}]"
33936422,A semantic database for integrated management of image and dosimetric data in low radiation dose research in medical imaging.,DATABASE_NO_URL,False,,0,,0,,0.0,False,,,False,,,
31832526,A long term physical and biogeochemical database of a hyper-eutrophicated Mediterranean micro-estuary.,DATABASE_NO_URL,True,PMC,22685,http://reco.ruppin.ac.il/eng/sensor/ | http://reco.ruppin.ac.il/eng/template/?Pid=26 | http://reco.ruppin.ac.il/,3,http://reco.ruppin.ac.il/eng/sensor/,10.0,False,,...sensors data can be plotted or downloaded here ( http://reco.ruppin.ac.il/eng/sensor/ ) B. Inland estuarine stations data can be access...,False,404.0,HTTP 404,"[{""url"": ""http://reco.ruppin.ac.il/eng/sensor/"", ""score"": 10.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...sensors data can be plotted or downloaded here ( http://reco.ruppin.ac.il/eng/sensor/ ) B. Inland estuarine stations data can be access...""}, {""url"": ""http://reco.ruppin.ac.il/eng/template/?Pid=26"", ""score"": 0.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...ready table that is updated on a monthly basis ( http://reco.ruppin.ac.il/eng/template/?Pid=26 ). Data source location Alexander estuary, Israel...""}, {""url"": ""http://reco.ruppin.ac.il/"", ""score"": 0.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...ready table that is updated on a monthly basis ( http://reco.ruppin.ac.il/eng/template/?Pid=26 ). Data source location Alexa...""}]"
29381146,Australia's continental-scale acoustic tracking database and its automated quality control process.,DATABASE_NO_URL,True,PMC,29570,http://imos.org.au/fileadmin/user_upload/shared/AATAMS/Recommended_guidelines_for_using_data_from_the_IMOS_ATF_Acoustic_Animal_Tracking_Database_July2017.pdf | http://imos.org.au/fileadmin/user_upload/shared/AATAMS/IMOS-Animal_Tracking_-_Database_Security_Policy.pdf | https://portal.aodn.org.au/ | https://portal.aodn.org.au | https://portal.aodn.org.au/search?uuid=0ede6b3d-8635-472f-b91c-56a758b4e091 | http://data.aodn.org.au/?prefix=IMOS/AATAMS/acoustic_tagging | http://imos.org.au/fileadmin/user_upload/shared/AATAMS/IMOS-Animal_Tracking_-_Protected_Data_Policy.pdf | https://animaltracking.aodn.org.au/ | https://animaltracking.aodn.org.au | https://cran.r-project.org/web/packages/rworldxtra/index.html | https://cran.r-project.org/web/packages/gdistance/index.html | http://www.ala.org.au/ | http://fish.ala.org.au/ | http://imos.org.au/fileadmin/user_upload/shared/IMOS | http://imos.org.au/fileadmin/user_upload/shared/AATAMS/IMOS-Animal_Tracking_-_Tag_Embargo_Policy.pdf | https://www.r-project.org/ | http://www.imos.org.au | http://www.motus.org | http://www.r-project.org/ | https://vemco.com/wp-content/uploads/2012/11/gate_design.htm | http://vemco.com/wp-content/uploads/2012/11/false_detections.pdf | http://www.cmar.csiro.au/e-print/open/2009/lynevd_2009.pdf,22,http://imos.org.au/fileadmin/user_upload/shared/AATAMS/Recommended_guidelines_for_using_data_from_the_IMOS_ATF_Acoustic_Animal_Tracking_Database_July2017.pdf,63.0,True,database,...ing System ( www.motus.org ) and summarised here: http://imos.org.au/fileadmin/user_upload/shared/AATAMS/Recommended_guidelines_for_using_data_from_the_IMOS_ATF_Acoustic_Animal_Tracking_Database_July2017.pdf . Jaine F. R. A. et al. When giants turn up: sigh...,False,404.0,HTTP 404,"[{""url"": ""http://imos.org.au/fileadmin/user_upload/shared/AATAMS/Recommended_guidelines_for_using_data_from_the_IMOS_ATF_Acoustic_Animal_Tracking_Database_July2017.pdf"", ""score"": 63.0, ""title_match"": true, ""matched_keywords"": ""database"", ""context"": ""...ing System ( www.motus.org ) and summarised here: http://imos.org.au/fileadmin/user_upload/shared/AATAMS/Recommended_guidelines_for_using_data_from_the_IMOS_ATF_Acoustic_Animal_Tracking_Database_July2017.pdf . Jaine F. R. A. et al. When giants turn up: sigh...""}, {""url"": ""http://imos.org.au/fileadmin/user_upload/shared/AATAMS/IMOS-Animal_Tracking_-_Database_Security_Policy.pdf"", ""score"": 63.0, ""title_match"": true, ""matched_keywords"": ""database"", ""context"": ""...IMOS. IMOS Animal Tracking Data Security Policy , http://imos.org.au/fileadmin/user_upload/shared/AATAMS/IMOS-Animal_Tracking_-_Database_Security_Policy.pdf ( 2016 ). Meeuwig J. J. , Harcourt R. G. & Whoris...""}, {""url"": ""https://portal.aodn.org.au/"", ""score"": 26.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...h the Australian Ocean Data Network portal (AODN: https://portal.aodn.org.au/ ), the primary national repository for marine and...""}, {""url"": ""https://portal.aodn.org.au"", ""score"": 26.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...h the Australian Ocean Data Network portal (AODN: https://portal.aodn.org.au/ ), the primary national repository for marine an...""}, {""url"": ""https://portal.aodn.org.au/search?uuid=0ede6b3d-8635-472f-b91c-56a758b4e091"", ""score"": 16.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...may be directly accessed using the following URL: https://portal.aodn.org.au/search?uuid=0ede6b3d-8635-472f-b91c-56a758b4e091 . Alternatively, individual data files may be dow...""}, {""url"": ""http://data.aodn.org.au/?prefix=IMOS/AATAMS/acoustic_tagging"", ""score"": 16.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...s may be downloaded through the AODN S3 browser ( http://data.aodn.org.au/?prefix=IMOS/AATAMS/acoustic_tagging ). This static dataset will be complemented by a...""}, {""url"": ""http://imos.org.au/fileadmin/user_upload/shared/AATAMS/IMOS-Animal_Tracking_-_Protected_Data_Policy.pdf"", ""score"": 13.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...MOS. IMOS Animal Tracking\u2014Protected Data Policy , http://imos.org.au/fileadmin/user_upload/shared/AATAMS/IMOS-Animal_Tracking_-_Protected_Data_Policy.pdf ( 2016 ). Cooke S. J. et al. Troubling issues at...""}, {""url"": ""https://animaltracking.aodn.org.au/"", ""score"": 5.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...F database supports a front-end web application ( https://animaltracking.aodn.org.au/ ) through which users input transmitter and recei...""}, {""url"": ""https://animaltracking.aodn.org.au"", ""score"": 5.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...F database supports a front-end web application ( https://animaltracking.aodn.org.au/ ) through which users input transmitter and rece...""}, {""url"": ""https://cran.r-project.org/web/packages/rworldxtra/index.html"", ""score"": 5.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...h the \u2018rworldmap\u2019 and \u2018rworldxtra\u2019 libraries 27 ( https://cran.r-project.org/web/packages/rworldxtra/index.html , last accessed 22 Nov 2017) which we then raster...""}]"
23164410,Transcriptome database resource and gene expression atlas for the rose.,DATABASE_NO_URL,True,PMC,49827,http://pathway-tools.toulouse.inra.fr/ROSACYC | http://www.rosaceae.org/peach/genome | http://pathway-tools.toulouse.inra.fr/ROSACYC/new-image?type=PATHWAY&object=CAROTENOID-PWY | http://iant.toulouse.inra.fr/R.chinensis | http://lipm-bioinfo.toulouse.inra.fr/download/glint/,5,http://pathway-tools.toulouse.inra.fr/ROSACYC,21.0,False,,...ified using semi-automated tools are available at http://pathway-tools.toulouse.inra.fr/ROSACYC under ROSAcyc . The majority of the previously re...,False,401.0,HTTP 401,"[{""url"": ""http://pathway-tools.toulouse.inra.fr/ROSACYC"", ""score"": 21.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...ified using semi-automated tools are available at http://pathway-tools.toulouse.inra.fr/ROSACYC under ROSAcyc . The majority of the previously re...""}, {""url"": ""http://www.rosaceae.org/peach/genome"", ""score"": 13.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...being supported by transcriptome mapping ([ 20 ]; http://www.rosaceae.org/peach/genome ). Overall, about 53% and 44% of the predicted tr...""}, {""url"": ""http://pathway-tools.toulouse.inra.fr/ROSACYC/new-image?type=PATHWAY&object=CAROTENOID-PWY"", ""score"": 11.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...ROSAcyc database by numerous putative peptides ( http://pathway-tools.toulouse.inra.fr/ROSACYC/new-image?type=PATHWAY&object=CAROTENOID-PWY ). The database provides information on peptides...""}, {""url"": ""http://iant.toulouse.inra.fr/R.chinensis"", ""score"": 10.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...available at the ROSAseq web interface database , http://iant.toulouse.inra.fr/R.chinensis . An additional 1248 clusters had significant mat...""}, {""url"": ""http://lipm-bioinfo.toulouse.inra.fr/download/glint/"", ""score"": 8.0, ""title_match"": false, ""matched_keywords"": """", ""context"": ""...using glint software (Faraut T. and Courcelle E.; http://lipm-bioinfo.toulouse.inra.fr/download/glint/ , unpublished) onto the EST clusters generated fr...""}]"
34597583,Atlas of clinically distinct cell states and ecosystems across human solid tumors.,ATLAS_NO_URL,False,,0,,0,,0.0,False,,,False,,,
